,base_idx,Campsite,f_idx,f_site,f_ratio,j_idx,j_site,j_ratio,s_idx,s_site,s_ratio
2966,593,貴子坑露營場,599,貴子坑露營場淋浴間,100.0,599,貴子坑露營場淋浴間,0.6,599,貴子坑露營場淋浴間,0.7745966692414834
2967,593,貴子坑露營場,602,貴子坑露營場辦公室,100.0,602,貴子坑露營場辦公室,0.6,602,貴子坑露營場辦公室,0.7745966692414834
2975,595,碧山露營場森林營區,594,碧山露營場,100.0,595,碧山露營場森林營區,1.0,595,碧山露營場森林營區,1.0
2980,596,蟬說: 暖硫 Chanshuo Warm Flow Glamping,508,蟬說,100.0,596,蟬說: 暖硫 Chanshuo Warm Flow Glamping,1.0,596,蟬說: 暖硫 Chanshuo Warm Flow Glamping,0.9999999999999998
2995,599,貴子坑露營場淋浴間,593,貴子坑露營場,100.0,599,貴子坑露營場淋浴間,1.0,599,貴子坑露營場淋浴間,1.0
3010,602,貴子坑露營場辦公室,593,貴子坑露營場,100.0,602,貴子坑露營場辦公室,1.0,602,貴子坑露營場辦公室,1.0
3116,623,皇后鎮森林三峽,628,皇后鎮森林金山,83.33333333333334,628,皇后鎮森林金山,0.6,628,皇后鎮森林金山,0.75
3141,628,皇后鎮森林金山,623,皇后鎮森林三峽,83.33333333333334,623,皇后鎮森林三峽,0.6,623,皇后鎮森林三峽,0.75
3181,636,水樂活親子農場,1713,水樂活親子農場,100.0,1713,水樂活親子農場,1.0,1713,水樂活親子農場,1.0000000000000002
3200,640,華中露營場汽車露營區,598,華中露營場,100.0,640,華中露營場汽車露營區,1.0,640,華中露營場汽車露營區,1.0
3210,642,十分自然露營區,116,十分自然露營區,100.0,116,十分自然露營區,1.0,116,十分自然露營區,1.0000000000000002
3320,664,將軍 微光露營區,658,微光露營區,100.0,664,將軍 微光露營區,1.0,664,將軍 微光露營區,1.0
3360,672,關子嶺開心休閒農場,648,關子嶺,100.0,672,關子嶺開心休閒農場,1.0,672,關子嶺開心休閒農場,1.0
3531,706,荖濃有機農場露營區,1912,荖濃有機農場露營區,100.0,1912,荖濃有機農場露營區,1.0,1912,荖濃有機農場露營區,1.0
3565,713,月媽媽快樂露營區,268,快樂露營區,100.0,713,月媽媽快樂露營區,1.0,713,月媽媽快樂露營區,1.0
3575,715,大學林露營區,358,大學林,100.0,715,大學林露營區,1.0,715,大學林露營區,0.9999999999999998
3581,716,泗高露棧,1914,泗高露棧,100.0,1914,泗高露棧,1.0,1914,泗高露棧,0.9999999999999998
3600,720,167咖啡 海銀花園,718,海銀花園,100.0,720,167咖啡 海銀花園,1.0,720,167咖啡 海銀花園,1.0
3606,721,有夠遠露營區,1893,有夠遠露營區,100.0,1893,有夠遠露營區,1.0,1893,有夠遠露營區,1.0000000000000002
3616,723,老爺的家露營區,873,羅老爸的家露營區,85.71428571428572,1758,烏米的家露營區,0.6,1758,烏米的家露營區,0.75
3646,729,小野柳露營區,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,100.0,1834,小野柳滑草場露營區,0.75,1834,小野柳滑草場露營區,0.8660254037844388
3651,730,曉晴星空露營地,68,星空谷露營地,90.9090909090909,1528,星空夜語露營地,0.6,1528,星空夜語露營地,0.75
3690,738,三姊快樂露營區,268,快樂露營區,100.0,738,三姊快樂露營區,1.0,738,三姊快樂露營區,1.0
3845,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,729,小野柳露營區,100.0,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,1.0,769,交通部觀光署東部海岸國家風景區管理處小野柳露營區,1.0
4106,821,好柿抵嘉農場,1897,好柿抵嘉農場,100.0,1897,好柿抵嘉農場,1.0,1897,好柿抵嘉農場,0.9999999999999998
4121,824,淺山尋露,1879,淺山尋露,100.0,1879,淺山尋露,1.0,1879,淺山尋露,0.9999999999999998
4126,825,晨光露營區(狩獵帳),1899,晨光,100.0,1449,寬闊露營區(狩獵帳),0.6666666666666666,1449,寬闊露營區(狩獵帳),0.7999999999999999
4127,825,晨光露營區(狩獵帳),901,阿里山螢火蟲露營區(狩獵帳),88.88888888888889,901,阿里山螢火蟲露營區(狩獵帳),0.5714285714285714,901,阿里山螢火蟲露營區(狩獵帳),0.7302967433402215
4128,825,晨光露營區(狩獵帳),1151,高台山露營區(狩獵帳),88.88888888888889,1163,漫步天湖露營區(狩獵帳),0.5714285714285714,1163,漫步天湖露營區(狩獵帳),0.7302967433402215
4131,826,來灣哈露營區,906,來灣哈露營區(B區),100.0,1894,來灣哈露營區,1.0,1894,來灣哈露營區,1.0000000000000002
4136,827,草地狀元露營區,1878,草地狀元露營區,100.0,1878,草地狀元露營區,1.0,1878,草地狀元露營區,1.0000000000000002
4151,830,太和觀光果園露營區,1902,太和觀光果園露營區,100.0,1902,太和觀光果園露營區,1.0,1902,太和觀光果園露營區,1.0
4165,833,吉恩典山丘露營區,98,吉恩典山丘,100.0,833,吉恩典山丘露營區,1.0,833,吉恩典山丘露營區,1.0
4176,835,達邦村受不寮露營區,1896,受不寮露營區,100.0,1896,受不寮露營區,0.8,1896,受不寮露營區,0.8944271909999159
4191,838,星知心露營區,1885,星知心露營區,100.0,1885,星知心露營區,1.0,1885,星知心露營區,1.0000000000000002
4196,839,星晴朗露營區,1906,星晴朗露營區,100.0,1906,星晴朗露營區,1.0,1906,星晴朗露營區,1.0000000000000002
4206,841,天長地久露營區,1901,天長地久露營區,100.0,1901,天長地久露營區,1.0,1901,天長地久露營區,1.0000000000000002
4216,843,景山露營區,1890,景山露營區,100.0,1890,景山露營區,1.0,1890,景山露營區,0.9999999999999998
4236,847,小森林露營區,1939,森林露營區,100.0,1939,森林露營區,0.6666666666666666,1939,森林露營區,0.816496580927726
4276,855,老鼠溪咖啡莊園營區Ａ區,904,老鼠溪咖啡莊園營區C區,90.9090909090909,904,老鼠溪咖啡莊園營區C區,0.75,904,老鼠溪咖啡莊園營區C區,0.8571428571428569
4296,859,拉拉克斯莊園,1877,拉拉克斯莊園,100.0,1877,拉拉克斯莊園,1.0,1877,拉拉克斯莊園,1.0000000000000002
4311,862,禾田農莊,1895,禾田農莊,100.0,1895,禾田農莊,1.0,1895,禾田農莊,0.9999999999999998
4315,863,山樂園,577,大雪山 茂山樂園,100.0,863,山樂園,1.0,863,山樂園,1.0
4346,869,林間秘境露營區,1497,秘境露營區,100.0,1497,秘境露營區,0.6666666666666666,1497,秘境露營區,0.816496580927726
4350,870,三寶山露營區,101,三寶山露營區,100.0,101,三寶山露營區,1.0,101,三寶山露營區,0.9999999999999998
4361,872,天一露營區,1880,天一露營區,100.0,1880,天一露營區,1.0,1880,天一露營區,0.9999999999999998
4396,879,玉讚露營區,245,按個讚露營區,88.88888888888889,245,按個讚露營區,0.5714285714285714,245,按個讚露營區,0.7302967433402215
4410,882,美淞露營地,100,美淞露營地,100.0,100,美淞露營地,1.0,100,美淞露營地,0.9999999999999998
