,idx,fk,ratio
6110,1222,1222,1.0
6111,1222,33,0.25
6112,1222,34,0.25
6113,1222,41,0.25
6114,1222,50,0.25
6115,1223,1223,1.0
6116,1223,2,0.2
6117,1223,9,0.2
6118,1223,16,0.2
6119,1223,51,0.2
6120,1224,1224,1.0
6121,1224,142,0.5
6122,1224,225,0.5
6123,1224,303,0.5
6124,1224,304,0.5
6125,1225,1225,1.0
6126,1225,14,0.16666666666666666
6127,1225,17,0.16666666666666666
6128,1225,81,0.16666666666666666
6129,1225,139,0.16666666666666666
6130,1226,1226,1.0
6131,1226,11,0.25
6132,1226,42,0.25
6133,1226,53,0.25
6134,1226,206,0.25
6135,1227,1227,1.0
6136,1227,121,0.4
6137,1227,118,0.2
6138,1227,175,0.2
6139,1227,177,0.2
6140,1228,1228,1.0
6141,1228,1392,0.42857142857142855
6142,1228,1775,0.4
6143,1228,1168,0.3333333333333333
6144,1228,442,0.2857142857142857
6145,1229,1229,1.0
6146,1229,43,0.25
6147,1229,54,0.2
6148,1229,785,0.2
6149,1229,1232,0.2
6150,1230,1230,1.0
6151,1230,100,0.3333333333333333
6152,1230,145,0.3333333333333333
6153,1230,186,0.3333333333333333
6154,1230,203,0.3333333333333333
6155,1231,1231,1.0
6156,1231,293,0.4
6157,1231,390,0.4
6158,1231,474,0.4
6159,1231,867,0.4
6160,1232,1232,1.0
6161,1232,1743,1.0
6162,1232,1241,0.5
6163,1232,1729,0.5
6164,1232,1254,0.4
6165,1233,1233,1.0
6166,1233,196,0.5
6167,1233,67,0.4
6168,1233,1793,0.4
6169,1233,1434,0.3333333333333333
6170,1234,1234,1.0
6171,1234,2,0.25
6172,1234,9,0.25
6173,1234,16,0.25
6174,1234,51,0.25
6175,1235,1235,1.0
6176,1235,100,0.3333333333333333
6177,1235,145,0.3333333333333333
6178,1235,186,0.3333333333333333
6179,1235,203,0.3333333333333333
6180,1236,1236,1.0
6181,1236,0,0.0
6182,1236,1,0.0
6183,1236,2,0.0
6184,1236,3,0.0
6185,1237,177,1.0
6186,1237,1237,1.0
6187,1237,118,0.3333333333333333
6188,1237,175,0.3333333333333333
6189,1237,211,0.3333333333333333
6190,1238,1238,1.0
6191,1238,100,0.3333333333333333
6192,1238,145,0.3333333333333333
6193,1238,186,0.3333333333333333
6194,1238,203,0.3333333333333333
6195,1239,1239,1.0
6196,1239,1720,1.0
6197,1239,33,0.3333333333333333
6198,1239,34,0.3333333333333333
6199,1239,41,0.3333333333333333
6200,1240,140,1.0
6201,1240,1240,1.0
6202,1240,33,0.25
6203,1240,34,0.25
6204,1240,41,0.25
6205,1241,1241,1.0
6206,1241,1729,1.0
6207,1241,729,0.5
6208,1241,847,0.5
6209,1241,1232,0.5
6210,1242,150,1.0
6211,1242,1242,1.0
6212,1242,30,0.5
6213,1242,407,0.5
6214,1242,468,0.5
6215,1243,1243,1.0
6216,1243,2,0.3333333333333333
6217,1243,9,0.3333333333333333
6218,1243,16,0.3333333333333333
6219,1243,51,0.3333333333333333
6220,1244,1244,1.0
6221,1244,33,0.2
6222,1244,34,0.2
6223,1244,41,0.2
6224,1244,50,0.2
6225,1245,1245,1.0
6226,1245,1805,0.5
6227,1245,1123,0.4
6228,1245,2,0.25
6229,1245,9,0.25
6230,1246,131,1.0
6231,1246,1246,1.0
6232,1246,2,0.3333333333333333
6233,1246,9,0.3333333333333333
6234,1246,16,0.3333333333333333
6235,1247,1247,1.0
6236,1247,33,0.3333333333333333
6237,1247,34,0.3333333333333333
6238,1247,41,0.3333333333333333
6239,1247,50,0.3333333333333333
6240,1248,1248,1.0
6241,1248,237,0.25
6242,1248,963,0.25
6243,1248,1472,0.25
6244,1248,113,0.2
6245,1249,1249,1.0
6246,1249,2,0.3333333333333333
6247,1249,9,0.3333333333333333
6248,1249,16,0.3333333333333333
6249,1249,51,0.3333333333333333
6250,1250,185,1.0
6251,1250,1250,1.0
6252,1250,2,0.25
6253,1250,9,0.25
6254,1250,16,0.25
6255,1251,1251,1.0
6256,1251,1189,0.4444444444444444
6257,1251,596,0.36363636363636365
6258,1251,508,0.16666666666666666
6259,1251,299,0.125
6260,1252,1252,1.0
6261,1252,18,0.5
6262,1252,220,0.5
6263,1252,1707,0.5
6264,1252,985,0.4
6265,1253,193,1.0
6266,1253,1253,1.0
6267,1253,790,0.5
6268,1253,731,0.4
6269,1253,1642,0.4
6270,1254,1254,1.0
6271,1254,1232,0.4
6272,1254,1241,0.4
6273,1254,1482,0.4
6274,1254,1729,0.4
6275,1255,151,1.0
6276,1255,1255,1.0
6277,1255,33,0.3333333333333333
6278,1255,34,0.3333333333333333
6279,1255,41,0.3333333333333333
6280,1256,1256,1.0
6281,1256,1778,1.0
6282,1256,33,0.2
6283,1256,34,0.2
6284,1256,41,0.2
6285,1257,1257,1.0
6286,1257,112,0.4
6287,1257,228,0.4
6288,1257,939,0.4
6289,1257,1767,0.36363636363636365
6290,1258,1258,1.0
6291,1258,2,0.25
6292,1258,9,0.25
6293,1258,16,0.25
6294,1258,51,0.25
6295,1259,1259,1.0
6296,1259,68,0.5
6297,1259,100,0.25
6298,1259,145,0.25
6299,1259,186,0.25
6300,1260,1260,1.0
6301,1260,1755,0.5714285714285714
6302,1260,817,0.25
6303,1260,1576,0.25
6304,1260,1749,0.25
6305,1261,160,1.0
6306,1261,1261,1.0
6307,1261,2,0.3333333333333333
6308,1261,9,0.3333333333333333
6309,1261,16,0.3333333333333333
6310,1262,1262,1.0
6311,1262,400,0.2857142857142857
6312,1262,1290,0.2857142857142857
6313,1262,1321,0.2857142857142857
6314,1262,385,0.25
6315,1263,1263,1.0
6316,1263,1715,0.5
6317,1263,397,0.4
