region,county_name,address,total_rank,total_comments_count,altitude,campground_emo_geo_ID,campground_ID,camping_site_name,campground_category,hot,negative_ratio,positive_ratio,hot_but_negative,latitude,longitude,count
北區,桃園市,桃園市復興區12號,5.0,14,400.0,752,1000,溫度露營區,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.8,315,,764,1012,熊老大露營區,好評,Hot,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區爺亨道路24號,4.4,219,,768,1016,爺亨溫泉夢幻莊園露營區,普通,,0.14,0.86,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區羅馬路五段330號,5.0,101,150.0,822,1070,石秀灣五葉松露營區,好評,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區庫志道路11鄰24號,5.0,121,400.0,836,1084,福田美地,好評,,0.01,0.99,,24.8153769,121.351898,1
北區,桃園市,桃園市大溪區環湖路二段185巷106號,5.0,62,,840,1088,禾煦山行嶼,好評,,0.0,1.0,,24.880584,121.286962,1
北區,桃園市,桃園市大溪區中華路369巷33號,4.8,71,,872,1120,綠境農場,好評,,0.05,0.95,,24.880584,121.286962,1
北區,桃園市,桃園市大溪區美山路一段號166巷65號,3.9,273,,874,1122,綠果子休憩站,差評,Hot,0.4,0.6,,24.880584,121.286962,1
北區,桃園市,桃園市復興區11鄰75號,5.0,110,400.0,888,1136,美腿山親子露營區,好評,,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.2,1266,,891,1139,翠墨莊園,,Hot,0.3,0.7,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區141-9號,4.5,127,,911,1159,芘雅尚露營區,普通,,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區2鄰合流48之8號,4.7,162,,948,1196,葛鹿營地,普通,,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市楊梅區幼獅路一段東南側439號,4.7,211,,950,1198,蒝區,普通,,0.18,0.82,,24.9075751,121.1458735,1
北區,桃園市,桃園市復興區色霧鬧7鄰10-20號,4.7,614,,960,1208,蘋果農莊,普通,Hot,0.02,0.98,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區羅浮里4鄰羅浮92號,4.6,80,,964,1212,蝶木窩露營休閒坊,普通,,0.04,0.96,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區13號,4.0,73,400.0,965,1213,融奎霖休閒露營區,差評,,0.36,0.64,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區14鄰143-7號,4.1,180,,975,1223,觀星營地,差評,,0.17,0.83,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區義盛村10鄰義興29號,4.0,54,650.0,981,1229,谷力農場,差評,,0.1,0.9,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區30-3號,4.0,3,400.0,988,1236,貳柒珈琲露營區,差評,,0.23,0.77,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.5,59,,1010,1258,逍遙遊秘境露營區,普通,,0.09,0.91,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區庫志道路32號,5.0,41,650.0,1019,1267,達彥休閒露營區,好評,,0.14,0.86,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,5.0,17,650.0,1020,1268,達拉蓋,好評,,0.07,0.93,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路86巷28號,4.0,101,1250.0,1025,1273,拉拉山 遠見之星露營區,差評,,0.13,0.87,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區9-6號,5.0,3,650.0,1027,1275,那山達雅賀,好評,,0.08,0.92,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區8鄰26號,4.8,54,,1037,1285,鄉露營地,好評,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路138-2號,4.5,148,,1061,1309,長榮果園露營區,普通,,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區長興里17鄰54號,4.1,265,,1062,1310,長興山水靜露營區,差評,Hot,0.41,0.59,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里華陵村11鄰180號,4.4,140,,1071,1319,阿爸的故事,普通,,0.18,0.82,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區華陵里9鄰69號,4.0,75,1250.0,1089,1337,拉拉山 雅比斯露營區,差評,,0.04,0.96,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區三光段122地號果園,4.8,49,,1090,1338,雅緻露營區,好評,,0.06,0.94,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區中心路,5.0,37,1700.0,1100,1348,拉拉山 雲河露營農場,好評,,0.1,0.9,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區色霧鬧10-21號,4.6,402,,1106,1354,雲霧農場,普通,Hot,0.05,0.95,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,4.5,378,,1135,1383,飛鼠不渴山上學校露營農場,普通,Hot,0.1,0.9,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區霞雲里,5.0,6,400.0,1139,1387,馬灣露營區,好評,,0.14,0.86,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區,5.0,42,650.0,1142,1390,馬莎度露營區,好評,,0.1,0.9,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區11鄰180號,3.7,3,,1143,1391,馬野露營地,差評,,0.33,0.67,,24.8153769,121.351898,1
北區,桃園市,桃園市復興區5號,4.9,138,,1144,1392,高坡金磐石露營區,好評,,0.01,0.99,,24.8153769,121.351898,1
